2025-05-13 18:08:57.030 | INFO | a29103cda9844e028f2c49e81748f25a | app.py:request_received:61 | 请求: http://localhost:8000/api/optimize
2025-05-13 18:08:57.035 | INFO | ec51b6b870d3469f88c32f658cdefb0d | app.py:request_received:61 | 请求: http://localhost:8000/api/optimize
2025-05-13 18:10:57.274 | INFO | 2e726126494e4d84b589fb5e36f61e54 | app.py:request_received:61 | 请求: http://localhost:8000/api/connect-test
2025-05-13 18:10:57.276 | INFO | 00c2a5106fc34fae854498eb94cd29de | app.py:request_received:61 | 请求: http://localhost:8000/api/connect-test
2025-05-13 18:11:09.870 | INFO | 8e808b81e82440a1b829cb3d5742eee6 | app.py:request_received:61 | 请求: http://localhost:8000/api/connect-test
2025-05-13 18:14:40.150 | INFO | 618e2a8dc2da403399a9ec2d7dc8f36a | app.py:request_received:61 | 请求: http://localhost:8000/discriminative/api/optimize
2025-05-13 18:14:40.153 | INFO | 00cde4e9584940c0a0f8473b1f02055f | app.py:request_received:61 | 请求: http://localhost:8000/discriminative/api/optimize
2025-05-13 18:14:40.549 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:optimize:186 | -----------------------开始评估初始提示词--------------------------
2025-05-13 18:14:41.081 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:110 | 用户问题：{'input': '帮我分析一下自2021年以来我的薪资变化', 'expected': 2021, 'initialPromptResult': '', 'optimizedPromptResult': '', 'output': '2021'}
2025-05-13 18:14:41.081 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:111 | 生成结果：2021
2025-05-13 18:14:41.081 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:112 | 分数：1.0
2025-05-13 18:14:41.502 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:110 | 用户问题：{'input': '查一下从2020年至今我的工资变动情况', 'expected': 2020, 'initialPromptResult': '', 'optimizedPromptResult': '', 'output': '2020'}
2025-05-13 18:14:41.502 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:111 | 生成结果：2020
2025-05-13 18:14:41.502 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:112 | 分数：1.0
2025-05-13 18:14:42.667 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:110 | 用户问题：{'input': '最近三年我的薪酬变化情况', 'expected': 2023, 'initialPromptResult': '', 'optimizedPromptResult': '', 'output': '根据您的查询，时间范围是三年，因此超过了1年，所以输出格式应为YYYY。\n\n起始时间为：2020（假设当前年份为2023）'}
2025-05-13 18:14:42.668 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:111 | 生成结果：根据您的查询，时间范围是三年，因此超过了1年，所以输出格式应为YYYY。

起始时间为：2020（假设当前年份为2023）
2025-05-13 18:14:42.668 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:112 | 分数：0.0
2025-05-13 18:14:43.806 | INFO | 00cde4e9584940c0a0f8473b1f02055f | ...mizer\core\prompt_optimizer.py:evaluate_reflect_prompt:110 | 用户问题：{'input': '统计一下过去四年间我的工资情况', 'expected': 2021, 'initialPromptResult': '', 'optimizedPromptResult': '', 'output': '根据您的提问，查询的时间范围是四年，因此输出的起始时间为：2019'}
